pid,tta_idx,dice
1,6_9,0.99403034332806
1,9_6,0.99403034332806
1,6_10,0.06508556331331684
1,10_6,0.06508556331331684
1,6_11,0.990839471245306
1,11_6,0.990839471245306
1,6_12,0.7852294652701398
1,12_6,0.7852294652701398
1,6_13,0.2475690902909564
1,13_6,0.2475690902909564
1,6_14,0.40620157915737726
1,14_6,0.40620157915737726
1,6_15,0.9799728512128445
1,15_6,0.9799728512128445
1,7_8,0.13730947086944983
1,8_7,0.13730947086944983
1,7_9,0.9551578078939206
1,9_7,0.9551578078939206
1,7_10,0.0637574797239611
1,10_7,0.0637574797239611
1,7_11,0.9581399112028117
1,11_7,0.9581399112028117
1,7_12,0.7884909485364914
1,12_7,0.7884909485364914
1,7_13,0.24356584219892585
1,13_7,0.24356584219892585
1,7_14,0.40097201906292634
1,14_7,0.40097201906292634
1,7_15,0.971275271844465
1,15_7,0.971275271844465
1,8_9,0.14042157170048664
1,9_8,0.14042157170048664
1,8_10,0.6237471962436575
1,10_8,0.6237471962436575
1,8_11,0.13906721474243233
1,11_8,0.13906721474243233
1,8_12,0.13118100244148104
1,12_8,0.13118100244148104
1,8_13,0.6178267954836503
1,13_8,0.6178267954836503
1,8_14,0.11024814787979763
1,14_8,0.11024814787979763
1,8_15,0.13925380892315214
1,15_8,0.13925380892315214
1,9_10,0.06537030394374765
1,10_9,0.06537030394374765
1,9_11,0.9869706207887544
1,11_9,0.9869706207887544
1,9_12,0.78377891567817
1,12_9,0.78377891567817
1,9_13,0.2483900584493079
1,13_9,0.2483900584493079
1,9_14,0.4066817556965991
1,14_9,0.4066817556965991
1,9_15,0.9775928735744723
1,15_9,0.9775928735744723
1,10_11,0.0647863940256008
1,11_10,0.0647863940256008
1,10_12,0.062089762436592505
1,12_10,0.062089762436592505
1,10_13,0.3389592647129224
1,13_10,0.3389592647129224
1,10_14,0.05641589080649748
1,14_10,0.05641589080649748
1,10_15,0.06474371668787703
1,15_10,0.06474371668787703
1,11_12,0.7901062262541857
1,12_11,0.7901062262541857
1,11_13,0.24647358263282362
1,13_11,0.24647358263282362
1,11_14,0.40846266267662285
1,14_11,0.40846266267662285
1,11_15,0.9771052450338967
1,15_11,0.9771052450338967
1,12_13,0.22775222314931226
1,13_12,0.22775222314931226
1,12_14,0.5444689821321218
1,14_12,0.5444689821321218
1,12_15,0.7880065955046612
1,15_12,0.7880065955046612
1,13_14,0.17260023941310199
1,14_13,0.17260023941310199
1,13_15,0.24625855199714106
1,15_13,0.24625855199714106
1,14_15,0.40617256348632425
1,15_14,0.40617256348632425
2,1_2,0.9166154343957559
2,2_1,0.9166154343957559
2,1_3,0.8854524245959389
2,3_1,0.8854524245959389
2,1_4,0.909061758481399
2,4_1,0.909061758481399
2,1_5,0.9092752796527207
2,5_1,0.9092752796527207
2,1_6,0.9149017121116313
2,6_1,0.9149017121116313
2,1_7,0.159588399285335
2,7_1,0.159588399285335
2,1_8,0.9062997285407013
2,8_1,0.9062997285407013
2,1_9,0.8026030368764336
2,9_1,0.8026030368764336
2,1_10,0.9159435140414628
2,10_1,0.9159435140414628
2,1_11,0.914479308488771
2,11_1,0.914479308488771
2,1_12,0.9125868677740308
2,12_1,0.9125868677740308
2,1_13,0.826898491434479
2,13_1,0.826898491434479
2,1_14,0.1545704983721983
2,14_1,0.1545704983721983
2,1_15,0.013718173542586873
2,15_1,0.013718173542586873
2,2_3,0.9089552238806266
2,3_2,0.9089552238806266
2,2_4,0.9828442861160642
2,4_2,0.9828442861160642
